,partition,vertex
621,10041,24142
622,10042,24144
623,1509,24145
624,1726,24147
625,6074,24148
626,10043,24153
627,10044,24156
628,4084,24159
629,6075,24160
630,10045,24163
631,10046,24164
632,140,24170
633,5133,24171
634,4126,24172
635,10047,24176
636,1968,24180
637,6083,24182
638,6084,24184
639,1508,24185
640,12911,48626
641,6227,48628
642,12912,48629
643,9251,48630
644,12913,48631
645,12914,48633
646,12915,48635
647,12916,48638
648,1928,48640
649,6145,48643
650,12917,48645
651,7394,48646
652,12918,48647
653,12919,48648
654,12920,48651
655,9419,48652
656,12921,48654
657,7804,48656
658,12922,48659
659,12923,48661
660,12924,48665
661,12925,48666
662,12926,48667
663,9256,48669
664,464,48671
665,12927,48674
666,3022,48675
667,12928,48677
668,12929,48678
669,6142,48679
670,12930,48680
671,12931,48682
672,4918,44516
673,12102,44517
674,12103,44518
675,2707,44519
676,9020,44531
677,12104,44537
678,9022,44539
679,2702,44540
680,9023,44542
681,9004,44543
682,12105,44544
683,12106,44545
684,2095,44546
685,9024,44550
686,9018,44551
687,5064,44559
688,9015,44562
689,2068,44568
690,9026,44569
691,9016,44570
692,12107,44580
693,9032,44582
694,9030,44583
695,12108,44588
696,9033,44590
697,2591,44592
698,3904,44594
699,2676,44603
700,12109,44609
701,9036,44612
702,12110,44615
703,12111,44616
704,3749,18689
705,3750,18692
706,8405,18695
707,3751,18696
708,8404,18697
709,3752,18704
710,3753,18705
711,8392,18706
712,6347,18707
713,17,18710
714,6348,18711
715,3754,18712
716,8389,18716
717,8280,18728
718,8300,18730
719,8370,18733
720,3755,18734
721,6346,18739
722,8368,18740
723,8877,18743
724,6359,18745
725,3756,18746
726,3757,18748
727,3758,18751
728,5914,18754
729,3759,18755
730,8895,18757
731,7890,18759
732,8222,18760
733,8383,18761
734,8384,18763
735,3760,18770
736,15302,43771
737,8925,43773
738,12030,43774
739,12028,43775
740,4451,43776
741,12041,43777
742,8926,43778
743,8927,43779
744,2550,43782
745,768,43784
746,12714,43787
747,8928,43789
748,8929,43791
749,12037,43797
750,14901,43799
751,8930,43800
752,12031,43803
753,8931,43810
754,14904,43811
755,1344,43813
756,381,43820
757,8932,43821
758,15308,43822
759,555,43827
760,12802,43828
761,15396,43829
762,13516,43830
763,15394,43831
764,8933,43833
765,1484,43835
766,8934,43839
767,3294,43840
768,186,12900
769,5586,12903
770,2653,12904
771,5568,12910
772,2654,12918
773,199,12922
774,4983,12925
775,9308,12927
776,2655,12930
777,2656,12935
778,7670,12938
779,2657,12939
780,2658,12942
781,2659,12947
782,397,12949
783,5686,12950
784,9000,12951
785,7010,12956
786,2660,12958
787,2661,12959
788,9437,12960
789,5697,12961
790,2662,12963
791,2663,12967
792,2664,12968
793,6917,12970
794,9042,12971
795,2665,12973
796,9213,12977
797,389,12978
798,425,12979
799,9005,12981
800,5310,17825
801,1395,17827
802,5311,17829
803,14887,17831
804,1445,17833
805,14888,17834
806,12467,17837
807,11791,17853
808,16361,17854
809,1518,17855
810,12349,17856
811,15297,17857
812,3420,17858
813,5312,17861
814,12750,17862
815,10405,17866
816,12385,17867
817,1429,17873
818,9653,17877
819,13789,17878
820,10473,17879
821,3206,17880
822,5313,17882
823,1068,17887
824,5314,17888
825,3625,17890
826,5315,17892
827,5316,17893
828,1433,17902
829,9935,17904
830,5317,17913
831,96,17918
832,7286,32709
833,7285,32711
834,925,32714
835,10920,32715
836,10921,32718
837,4241,32721
838,7288,32722
839,7289,32725
840,10922,32726
841,2145,32729
842,4638,32730
843,2052,32731
844,325,32734
845,4269,32735
846,4263,32736
847,2819,32738
848,10923,32739
849,924,32742
850,5602,32744
851,10924,32745
852,10925,32748
853,7292,32755
854,4606,32756
855,7294,32758
856,10926,32761
857,3565,32771
858,7293,32774
859,7297,32775
860,10927,32776
861,10928,32780
862,7298,32781
863,10929,32784
864,13133,46460
865,2639,46461
866,12307,46462
867,3419,46466
868,12302,46470
869,3592,46471
870,9308,46473
871,15206,46474
872,9309,46476
873,15201,46477
874,217,46478
875,1763,46483
876,15200,46484
877,2637,46494
878,9310,46496
879,12305,46497
880,4445,46499
881,15196,46502
882,1760,46505
883,9311,46507
884,4501,46508
885,9312,46509
886,9313,46510
887,9314,46512
888,14385,46513
889,2951,46521
890,9315,46525
891,9316,46530
892,9317,46534
893,9318,46540
894,14356,46542
895,9319,46546
896,9211,12985
897,9006,12987
898,5562,12989
899,2666,12992
900,2667,12994
901,9203,12995
902,6901,12997
903,2668,13000
904,2669,13001
905,2670,13002
906,2671,13003
907,2672,13007
908,5640,13010
909,2673,13012
910,2674,13013
911,6977,13014
912,398,13017
913,2675,13018
914,6933,13019
915,2676,13020
916,2677,13021
917,6748,13024
918,2678,13025
919,2679,13027
920,2680,13033
921,9033,13035
922,5713,13036
923,9035,13038
924,8521,13042
925,5715,13049
926,6858,13055
927,2681,13060
928,14820,29892
929,13850,29895
930,4230,29897
931,2798,29898
932,2660,29899
933,10618,29902
934,6895,29903
935,6896,29906
936,2795,29907
937,2792,29910
938,6897,29911
939,2683,29917
940,2793,29918
941,6898,29920
942,10623,29921
943,2773,29922
944,10619,29923
945,6899,29925
946,14706,29926
947,10620,29928
948,13772,29930
949,6900,29931
950,14746,29932
951,14748,29933
952,2809,29934
953,14753,29935
954,2807,29936
955,6901,29938
956,4088,29942
957,14749,29948
958,6902,29950
959,14743,29951
960,5998,23609
961,9981,23610
962,9982,23611
963,9983,23614
964,4083,23618
965,1761,23619
966,9984,23620
967,5997,23622
968,2903,23623
969,5999,23625
970,9985,23626
971,2991,23628
972,9986,23631
973,9987,23634
974,6000,23636
975,5679,23638
976,2990,23640
977,9988,23641
978,1474,23643
979,5573,23645
980,9989,23654
981,5718,23655
982,2603,23659
983,6003,23660
984,6004,23662
985,9990,23663
986,6005,23668
987,6001,23669
988,6006,23671
989,9991,23672
990,9992,23675
991,6007,23676
992,6766,29130
993,2910,29133
994,6767,29135
995,16972,29138
996,6768,29141
997,6769,29143
998,6770,29148
999,3106,29150
1000,10555,29152
1001,16963,29153
1002,6771,29157
1003,6772,29163
1004,16997,29164
1005,12971,29168
1006,6773,29170
1007,16999,29174
1008,4221,29176
1009,4220,29181
1010,1620,29184
1011,16986,29185
1012,6774,29189
1013,6775,29191
1014,16974,29193
1015,3112,29194
1016,6776,29198
1017,6777,29200
1018,6778,29206
1019,12997,29207
1020,6779,29209
1021,6780,29211
1022,6781,29213
1023,6782,29215
1024,4009,27670
1025,1218,27671
1026,10399,27673
1027,1231,27674
1028,6571,27678
1029,1233,27682
1030,3975,27684
1031,10400,27686
1032,5143,27691
1033,4191,27693
1034,520,27696
1035,6573,27697
1036,10401,27698
1037,10402,27700
1038,6562,27701
1039,10403,27711
1040,10404,27712
1041,1047,27713
1042,3463,27716
1043,3462,27718
1044,3335,27720
1045,1139,27722
1046,3647,27725
1047,3438,27727
1048,10405,27729
1049,6574,27733
1050,6575,27734
1051,6578,27747
1052,6576,27750
1053,6579,27751
1054,3526,27752
