,partition,vertex
559,13884,27081
560,6478,27084
561,4183,27085
562,6479,27091
563,6480,27094
564,1125,27096
565,10336,27098
566,10377,27099
567,2053,27100
568,3297,27101
569,1126,27103
570,10354,27105
571,6481,27107
572,6482,27109
573,6483,27111
574,6484,27113
575,13549,27117
576,186,12900
577,5586,12903
578,2653,12904
579,5568,12910
580,2654,12918
581,199,12922
582,4983,12925
583,9308,12927
584,2655,12930
585,2656,12935
586,7670,12938
587,2657,12939
588,2658,12942
589,2659,12947
590,397,12949
591,5686,12950
592,9000,12951
593,7010,12956
594,2660,12958
595,2661,12959
596,9437,12960
597,5697,12961
598,2662,12963
599,2663,12967
600,2664,12968
601,6917,12970
602,9042,12971
603,2665,12973
604,9213,12977
605,389,12978
606,425,12979
607,9005,12981
608,7704,13522
609,7706,13524
610,6975,13525
611,7703,13528
612,2768,13529
613,435,13530
614,6976,13533
615,2769,13536
616,2770,13539
617,2771,13540
618,7676,13549
619,2772,13550
620,2773,13551
621,7674,13552
622,2774,13557
623,298,13558
624,6974,13561
625,2775,13563
626,2776,13565
627,9219,13566
628,2777,13567
629,2778,13569
630,2779,13570
631,2780,13571
632,9143,13575
633,8706,13576
634,248,13577
635,386,13578
636,8693,13579
637,9133,13580
638,421,13582
639,416,13585
640,15302,43771
641,8925,43773
642,12030,43774
643,12028,43775
644,4451,43776
645,12041,43777
646,8926,43778
647,8927,43779
648,2550,43782
649,768,43784
650,12714,43787
651,8928,43789
652,8929,43791
653,12037,43797
654,14901,43799
655,8930,43800
656,12031,43803
657,8931,43810
658,14904,43811
659,1344,43813
660,381,43820
661,8932,43821
662,15308,43822
663,555,43827
664,12802,43828
665,15396,43829
666,13516,43830
667,15394,43831
668,8933,43833
669,1484,43835
670,8934,43839
671,3294,43840
672,12233,45659
673,4322,45661
674,4052,45662
675,4015,45664
676,14694,45665
677,2154,45666
678,9179,45667
679,12238,45668
680,9180,45671
681,12228,45672
682,9181,45673
683,14700,45677
684,1384,45678
685,9182,45682
686,13198,45683
687,12237,45689
688,9183,45690
689,9184,45692
690,12232,45693
691,9185,45696
692,9186,45697
693,4027,45698
694,12253,45699
695,14689,45700
696,9187,45703
697,15172,45704
698,14691,45706
699,9188,45707
700,15171,45708
701,9189,45710
702,9190,45712
703,9191,45713
704,6337,57075
705,16082,57076
706,16083,57077
707,16084,57081
708,16085,57082
709,6384,57084
710,16086,57087
711,16087,57088
712,16088,57090
713,579,57092
714,16089,57094
715,873,57095
716,16090,57096
717,872,57097
718,16091,57098
719,16092,57100
720,16093,57101
721,9470,57102
722,16094,57106
723,16095,57108
724,16096,57109
725,356,57110
726,4404,57111
727,16097,57112
728,16098,57113
729,875,57114
730,9476,57116
731,4165,57118
732,4701,57120
733,16099,57123
734,16100,57124
735,909,57129
736,3837,42903
737,1469,42909
738,8795,42912
739,4418,42913
740,11946,42918
741,5000,42924
742,11947,42925
743,8804,42932
744,8805,42937
745,8808,42939
746,8806,42944
747,2481,42945
748,8801,42948
749,4408,42950
750,4405,42952
751,8811,42956
752,1479,42957
753,8798,42959
754,1331,42960
755,5464,42961
756,779,42962
757,8812,42964
758,11948,42967
759,134,42970
760,5458,42972
761,2288,42976
762,8814,42980
763,11949,42984
764,11950,42995
765,3963,42996
766,4447,42998
767,11951,42999
768,10037,24113
769,5568,24115
770,10038,24116
771,6063,24117
772,6072,24118
773,6050,24119
774,3430,24120
775,6042,24122
776,10039,24128
777,4123,24130
778,6076,24132
779,5131,24134
780,10040,24136
781,10041,24142
782,10042,24144
783,1509,24145
784,1726,24147
785,6074,24148
786,10043,24153
787,10044,24156
788,4084,24159
789,6075,24160
790,10045,24163
791,10046,24164
792,140,24170
793,5133,24171
794,4126,24172
795,10047,24176
796,1968,24180
797,6083,24182
798,6084,24184
799,1508,24185
800,8549,41218
801,8550,41221
802,8551,41223
803,11789,41231
804,11790,41232
805,11791,41238
806,8554,41243
807,4407,41245
808,1727,41248
809,8547,41251
810,8556,41253
811,8546,41257
812,8544,41260
813,5289,41264
814,8557,41277
815,3423,41281
816,11792,41287
817,11793,41288
818,11794,41290
819,8558,41291
820,11795,41298
821,2666,41301
822,8559,41302
823,8560,41309
824,3292,41314
825,2200,41316
826,11796,41324
827,11797,41326
828,2214,41327
829,4412,41328
830,11798,41336
831,3425,41337
832,5310,17825
833,1395,17827
834,5311,17829
835,14887,17831
836,1445,17833
837,14888,17834
838,12467,17837
839,11791,17853
840,16361,17854
841,1518,17855
842,12349,17856
843,15297,17857
844,3420,17858
845,5312,17861
846,12750,17862
847,10405,17866
848,12385,17867
849,1429,17873
850,9653,17877
851,13789,17878
852,10473,17879
853,3206,17880
854,5313,17882
855,1068,17887
856,5314,17888
857,3625,17890
858,5315,17892
859,5316,17893
860,1433,17902
861,9935,17904
862,5317,17913
863,96,17918
864,14820,29892
865,13850,29895
866,4230,29897
867,2798,29898
868,2660,29899
869,10618,29902
870,6895,29903
871,6896,29906
872,2795,29907
873,2792,29910
874,6897,29911
875,2683,29917
876,2793,29918
877,6898,29920
878,10623,29921
879,2773,29922
880,10619,29923
881,6899,29925
882,14706,29926
883,10620,29928
884,13772,29930
885,6900,29931
886,14746,29932
887,14748,29933
888,2809,29934
889,14753,29935
890,2807,29936
891,6901,29938
892,4088,29942
893,14749,29948
894,6902,29950
895,14743,29951
896,3749,18689
897,3750,18692
898,8405,18695
899,3751,18696
900,8404,18697
901,3752,18704
902,3753,18705
903,8392,18706
904,6347,18707
905,17,18710
906,6348,18711
907,3754,18712
908,8389,18716
909,8280,18728
910,8300,18730
911,8370,18733
912,3755,18734
913,6346,18739
914,8368,18740
915,8877,18743
916,6359,18745
917,3756,18746
918,3757,18748
919,3758,18751
920,5914,18754
921,3759,18755
922,8895,18757
923,7890,18759
924,8222,18760
925,8383,18761
926,8384,18763
927,3760,18770
928,5159,16080
929,5160,16086
930,5161,16088
931,5162,16097
932,9953,16100
933,5163,16103
934,16265,16104
935,1109,16108
936,16268,16109
937,11974,16113
938,5164,16116
939,1265,16120
940,9688,16121
941,5165,16125
942,1150,16126
943,16404,16128
944,12645,16134
945,11023,16136
946,10169,16140
947,1420,16147
948,13028,16148
949,1423,16152
950,1419,16156
951,1152,16165
952,272,16167
953,11363,16168
954,5166,16169
955,16510,16182
956,5167,16184
957,5168,16185
958,15108,16187
959,5169,16192
960,3675,5115
961,1486,5116
962,1410,5117
963,1412,5118
964,1405,5119
965,3904,5141
966,4477,5146
967,3766,5149
968,3215,5150
969,3421,5154
970,157,5157
971,3530,5159
972,158,5161
973,159,5162
974,160,5171
975,161,5172
976,162,5176
977,163,5178
978,164,5179
979,1436,5181
980,1493,5183
981,3657,5184
982,1487,5185
983,3484,5186
984,4080,5189
985,1480,5191
986,1482,5194
987,3498,5195
988,1483,5199
989,3464,5200
990,1492,5207
991,1484,5208
992,9286,4397
993,9263,4398
994,4602,4399
995,9285,4400
996,128,4403
997,4580,4413
998,9264,4414
999,9312,4416
1000,5030,4422
1001,9444,4436
1002,9327,4440
1003,9343,4445
1004,4860,4448
1005,9348,4449
1006,9334,4454
1007,4858,4457
1008,9338,4458
1009,5049,4460
1010,5067,4464
1011,9337,4471
1012,8708,4472
1013,5069,4475
1014,4799,4482
1015,1335,4483
1016,1336,4484
1017,4796,4487
1018,4797,4490
1019,1337,4495
1020,1338,4496
1021,1339,4498
1022,8623,4501
1023,4800,4503
1024,9211,12985
1025,9006,12987
1026,5562,12989
1027,2666,12992
1028,2667,12994
1029,9203,12995
1030,6901,12997
1031,2668,13000
1032,2669,13001
1033,2670,13002
1034,2671,13003
1035,2672,13007
1036,5640,13010
1037,2673,13012
1038,2674,13013
1039,6977,13014
1040,398,13017
1041,2675,13018
1042,6933,13019
1043,2676,13020
1044,2677,13021
1045,6748,13024
1046,2678,13025
1047,2679,13027
1048,2680,13033
1049,9033,13035
1050,5713,13036
1051,9035,13038
1052,8521,13042
1053,5715,13049
1054,6858,13055
1055,2681,13060
1056,7286,32709
1057,7285,32711
1058,925,32714
1059,10920,32715
1060,10921,32718
1061,4241,32721
1062,7288,32722
1063,7289,32725
1064,10922,32726
1065,2145,32729
1066,4638,32730
1067,2052,32731
1068,325,32734
1069,4269,32735
1070,4263,32736
1071,2819,32738
1072,10923,32739
1073,924,32742
1074,5602,32744
1075,10924,32745
1076,10925,32748
1077,7292,32755
1078,4606,32756
1079,7294,32758
1080,10926,32761
1081,3565,32771
1082,7293,32774
1083,7297,32775
