,betweenness_centrality,vertex
784,0.0,57101
785,0.0,57102
786,0.0,57106
787,0.0,57108
788,0.0,57109
789,0.0,57110
790,0.0,57111
791,0.0,57112
792,0.0,57113
793,0.0,57114
794,0.0,57116
795,0.0,57118
796,0.0,57120
797,0.0,57123
798,0.0,57124
799,0.0,57129
800,0.0,52019
801,0.0,52020
802,0.0,52021
803,0.0,52022
804,0.0,52023
805,0.0,52027
806,0.0,52029
807,0.0,52030
808,0.0,52033
809,0.0,52034
810,0.0,52035
811,0.0,52036
812,0.0,52037
813,0.0,52039
814,0.0,52042
815,0.0,52044
816,0.0,52045
817,0.0,52047
818,0.0,52048
819,0.0,52051
820,0.0,52052
821,0.0,52053
822,0.0,52054
823,0.0,52056
824,0.0,52060
825,0.0,52061
826,0.0,52062
827,0.0,52064
828,0.0,52065
829,0.0,52068
830,0.0,52069
831,0.0,52071
832,0.0,29892
833,0.0,29895
834,0.0,29897
835,0.0,29898
836,0.0,29899
837,0.0,29902
838,0.0,29903
839,0.0,29906
840,0.0,29907
841,0.0,29910
842,0.0,29911
843,0.0,29917
844,0.0,29918
845,0.0,29920
846,0.0,29921
847,0.0,29922
848,0.0,29923
849,0.0,29925
850,0.0,29926
851,0.0,29928
852,0.0,29930
853,0.0,29931
854,0.0,29932
855,0.0,29933
856,0.0,29934
857,0.0,29935
858,0.0,29936
859,0.0,29938
860,0.0,29942
861,0.0,29948
862,0.0,29950
863,0.0,29951
864,0.0,32709
865,0.0,32711
866,0.0,32714
867,0.0,32715
868,0.0,32718
869,0.0,32721
870,0.0,32722
871,0.0,32725
872,0.0,32726
873,0.0,32729
874,0.0,32730
875,0.0,32731
876,0.0,32734
877,0.0,32735
878,0.0,32736
879,0.0,32738
880,0.0,32739
881,0.0,32742
882,0.0,32744
883,0.0,32745
884,0.0,32748
885,0.0,32755
886,0.0,32756
887,0.0,32758
888,0.0,32761
889,0.0,32771
890,0.0,32774
891,0.0,32775
892,0.0,32776
893,0.0,32780
894,0.0,32781
895,0.0,32784
896,0.0,2929
897,0.0,2930
898,0.0,2932
899,0.0,2934
900,0.0,2940
901,0.0,2941
902,0.0,2943
903,0.0,2944
904,0.0,2946
905,0.0,2947
906,0.0,2948
907,0.0,2949
908,0.0,2950
909,0.0,2951
910,0.0,2952
911,0.0,2953
912,0.0,2954
913,0.0,2955
914,0.0,2956
915,0.0,2957
916,0.0,2958
917,0.0,2961
918,0.0,2962
919,0.0,2963
920,0.0,2964
921,0.0,2966
922,0.0,2967
923,0.0,2970
924,0.0,2974
925,0.0,2975
926,0.0,2983
927,0.0,2985
928,0.0,29130
929,0.0,29133
930,0.0,29135
931,0.0,29138
932,0.0,29141
933,0.0,29143
934,0.0,29148
935,0.0,29150
936,0.0,29152
937,0.0,29153
938,0.0,29157
939,0.0,29163
940,0.0,29164
941,0.0,29168
942,0.0,29170
943,0.0,29174
944,0.0,29176
945,0.0,29181
946,0.0,29184
947,0.0,29185
948,0.0,29189
949,0.0,29191
950,0.0,29193
951,0.0,29194
952,0.0,29198
953,0.0,29200
954,0.0,29206
955,0.0,29207
956,0.0,29209
957,0.0,29211
958,0.0,29213
959,0.0,29215
960,0.0,32896
961,0.0,32897
962,0.0,32899
963,0.0,32900
964,0.0,32908
965,0.0,32911
966,0.0,32914
967,0.0,32927
968,0.0,32929
969,0.0,32933
970,0.0,32934
971,0.0,32936
972,0.0,32941
973,0.0,32942
974,0.0,32946
975,0.0,32954
976,0.0,32956
977,0.0,32959
978,0.0,32964
979,0.0,32967
980,0.0,32969
981,0.0,32972
982,0.0,32975
983,0.0,32976
984,0.0,32978
985,0.0,32979
986,0.0,32982
