,partition,vertex
1069,99,12351
1070,106,12366
1071,13,12377
1072,94,12384
1073,104,12396
1074,27,12408
1075,111,12455
1076,204,12458
1077,77,12470
1078,127,12480
1079,207,12485
1080,72,12490
1081,213,12492
1082,77,12555
1083,179,12592
1084,21,12650
1085,44,12679
1086,83,12743
1087,65,12769
1088,91,2196
1089,40,2305
1090,21,2392
1091,68,2425
1092,139,2429
1093,77,2443
1094,58,2501
1095,87,2554
1096,220,2587
1097,0,2634
1098,87,2648
1099,204,2718
1100,45,2745
1101,173,2752
1102,208,2765
1103,83,2772
1104,19,2868
1105,53,2873
1106,213,2893
1107,70,2923
1108,32,2976
1109,132,2977
1110,7,2980
1111,19,3021
1112,198,3179
1113,8,3188
1114,96,3207
1115,35,3256
1116,120,3269
1117,112,3344
1118,87,3359
1119,19,3393
1120,78,40814
1121,8,40815
1122,98,40821
1123,6,40828
1124,63,40832
1125,84,40846
1126,91,40878
1127,109,40879
1128,6,40881
1129,72,40882
1130,111,40885
1131,88,40892
1132,90,40903
1133,12,40906
1134,0,40912
1135,34,40918
1136,19,40919
1137,65,40932
1138,107,40935
1139,107,40937
1140,179,40942
1141,67,40945
1142,83,40952
1143,217,40955
1144,132,40965
1145,34,40971
1146,68,40991
1147,131,40999
1148,127,41006
1149,137,41011
1150,45,41013
1151,27,41015
1152,173,52845
1153,55,52849
1154,209,52852
1155,68,52856
1156,131,52859
1157,71,52869
1158,127,52873
1159,118,52878
1160,72,52879
1161,79,52882
1162,72,52895
1163,123,52896
1164,11,52905
1165,8,52912
1166,83,52913
1167,78,52920
1168,24,52925
1169,155,52927
1170,76,52945
1171,137,52947
1172,58,52949
1173,34,52954
1174,63,52963
1175,34,52967
1176,131,52968
1177,43,52987
1178,31,52992
1179,41,52993
1180,52,52994
1181,63,53000
1182,65,53003
1183,198,53015
1184,64,58441
1185,70,58442
1186,7,58444
1187,34,58447
1188,220,58448
1189,27,58450
1190,141,58451
1191,97,58452
1192,54,58453
1193,40,58454
1194,134,58456
1195,51,58459
1196,52,58460
1197,111,58462
1198,193,58463
1199,31,58464
1200,204,58466
1201,55,58469
1202,220,58471
1203,107,58478
1204,30,58480
1205,125,58483
1206,139,58486
1207,173,58488
1208,111,58490
1209,138,58491
1210,91,58492
1211,35,58493
1212,23,58494
1213,101,58495
1214,123,58496
1215,138,58498
1216,43,42450
1217,91,42469
1218,4,42484
1219,108,42503
1220,110,42507
1221,198,42518
1222,214,42529
1223,33,42531
1224,78,42543
1225,120,42548
1226,100,42553
1227,33,42554
1228,207,42555
1229,96,42569
1230,57,42577
1231,73,42582
1232,27,42586
1233,65,42591
1234,207,42595
1235,89,42620
1236,213,42630
1237,16,42631
1238,19,42640
1239,115,42644
1240,53,42648
1241,100,42652
1242,52,42670
1243,137,42692
1244,181,42693
1245,58,42700
1246,3,42716
1247,167,42718
1248,3,29379
1249,16,29381
1250,198,29382
1251,0,29394
1252,99,29397
1253,127,29401
1254,216,29404
1255,118,29405
1256,63,29408
1257,213,29423
1258,35,29426
1259,108,29427
1260,64,29438
1261,68,29446
1262,81,29453
1263,24,29454
1264,109,29455
1265,141,29456
1266,204,29467
1267,209,29470
1268,62,29472
1269,47,29481
1270,111,29483
1271,64,29484
1272,193,29487
1273,124,29488
1274,23,29506
1275,72,29516
1276,113,29521
1277,193,29526
1278,109,29532
1279,98,29536
1280,181,17982
1281,106,18007
1282,21,18029
1283,47,18031
1284,87,18034
1285,82,18076
1286,59,18093
1287,140,18105
1288,62,18107
1289,100,18113
1290,98,18134
1291,3,18136
1292,47,18143
1293,130,18154
1294,120,18163
1295,137,18195
1296,213,18220
1297,103,18221
1298,64,18294
1299,139,18296
1300,185,18299
1301,135,18306
1302,141,18313
1303,23,18315
1304,16,18328
1305,217,18330
1306,139,18332
1307,116,18335
1308,181,18340
1309,64,18345
1310,121,18349
1311,51,18358
1312,9,8008
1313,58,8062
1314,45,8091
1315,3,8095
1316,108,8107
1317,23,8183
1318,28,8198
1319,208,8220
1320,9,8271
1321,173,8282
1322,72,8363
1323,61,8370
1324,59,8377
1325,8,8392
1326,155,8457
1327,135,8564
1328,193,8576
1329,82,8664
1330,209,8761
1331,173,8832
1332,112,8899
1333,143,8934
1334,16,8977
1335,21,8980
1336,118,8994
1337,35,9017
1338,20,9041
1339,207,9063
1340,91,9156
1341,60,9312
1342,47,9337
1343,42,9349
1344,57,51670
1345,181,51672
1346,131,51673
1347,91,51675
1348,123,51676
1349,180,51677
1350,131,51680
1351,77,51683
1352,73,51687
1353,99,51691
1354,58,51692
1355,216,51695
1356,71,51697
1357,65,51702
1358,33,51703
1359,193,51704
1360,204,51713
1361,53,51714
1362,108,51716
1363,62,51719
1364,92,51722
1365,40,51724
1366,64,51725
1367,198,51733
1368,70,51735
1369,30,51739
1370,36,51740
1371,58,51746
1372,65,51747
1373,84,51753
1374,217,51757
1375,3,51760
1376,2,28720
1377,6,28737
1378,84,28743
1379,95,28746
1380,13,28747
1381,22,28748
1382,2,28751
1383,107,28752
1384,61,28753
1385,19,28756
1386,117,28765
1387,195,28772
1388,3,28774
1389,128,28788
1390,138,28789
1391,87,28791
1392,180,28811
1393,128,28818
1394,35,28820
1395,45,28822
1396,118,28824
1397,28,28826
1398,137,28827
1399,49,28845
1400,113,28849
1401,43,28852
1402,91,28857
1403,35,28878
1404,4,28879
1405,195,28882
1406,109,28884
1407,118,28900
1408,33,34361
1409,116,34362
1410,12,34380
1411,134,34384
1412,61,34385
1413,118,34387
1414,114,34394
1415,98,34398
1416,216,34408
1417,59,34418
1418,181,34423
1419,87,34427
1420,45,34432
1421,204,34434
1422,140,34445
1423,204,34449
1424,209,34453
1425,108,34455
1426,213,34462
1427,28,34479
1428,40,34497
1429,119,34508
1430,40,34516
1431,97,34518
1432,180,34520
1433,123,34521
1434,47,34525
1435,34,34534
1436,209,34539
1437,213,34545
1438,73,34549
1439,207,34551
1440,216,27764
1441,59,27769
1442,71,27770
1443,116,27787
1444,204,27793
1445,59,27798
1446,215,27805
1447,7,27810
1448,62,27821
1449,61,27823
1450,67,27827
1451,185,27838
1452,51,27841
1453,101,27854
1454,70,27856
1455,139,27875
1456,40,27887
1457,135,27896
1458,72,27908
1459,66,27909
1460,35,27921
1461,216,27932
1462,167,27936
1463,4,27943
1464,117,27949
1465,114,27953
1466,113,27954
1467,98,27971
1468,99,27980
1469,0,27983
1470,53,27985
1471,65,27991
1472,208,15232
1473,13,15253
1474,109,15303
1475,208,15353
1476,76,15366
1477,65,15386
1478,48,15401
1479,20,15441
1480,140,15442
1481,57,15450
1482,198,15461
1483,4,15491
1484,31,15492
1485,68,15501
1486,63,15511
1487,63,15520
1488,26,15588
1489,51,15621
1490,113,15634
1491,24,15670
1492,60,15694
1493,13,15707
1494,32,15726
1495,42,15746
1496,52,15754
1497,20,15775
1498,52,15784
1499,73,15795
1500,75,15830
1501,39,15881
1502,128,15885
1503,3,15892
1504,64,29677
1505,117,29687
1506,107,29689
1507,70,29690
1508,98,29694
1509,69,29700
1510,99,29704
1511,72,29707
1512,139,29711
1513,113,29724
1514,43,29733
1515,73,29736
1516,173,29737
1517,88,29738
1518,88,29740
1519,158,29741
1520,110,29745
1521,0,29747
1522,117,29757
1523,34,29773
1524,79,29774
1525,132,29784
1526,155,29788
1527,68,29791
1528,13,29792
1529,208,29799
1530,217,29803
1531,29,29807
1532,108,29813
1533,143,29815
1534,127,29816
1535,33,29822
1536,195,45567
1537,12,45571
1538,124,45587
1539,20,45590
1540,207,45617
1541,129,45629
1542,127,45632
1543,1,45648
1544,92,45661
1545,25,45672
1546,158,45678
1547,134,45716
1548,81,45719
1549,133,45721
1550,54,45732
1551,163,45744
1552,2,45747
1553,94,45748
1554,75,45754
1555,87,45776
1556,100,45777
1557,0,45780
1558,81,45794
1559,58,45797
1560,23,45803
1561,130,45825
1562,211,45826
1563,209,45829
1564,106,45844
1565,140,45864
1566,68,45877
1567,123,45879
1568,61,21711
1569,138,21730
1570,125,21734
1571,79,21739
1572,143,21743
1573,38,21753
1574,124,21754
1575,138,21759
1576,127,21761
1577,61,21786
1578,42,21793
1579,99,21797
1580,120,21803
1581,143,21806
1582,212,21811
1583,28,21868
1584,91,21885
1585,61,21895
1586,75,21896
1587,96,21924
1588,70,21925
1589,129,21933
1590,214,21934
1591,84,21936
1592,58,21937
1593,68,21942
1594,47,21949
1595,84,21955
1596,92,21971
1597,53,21973
1598,35,21978
1599,40,21988
1600,131,4319
1601,82,4325
1602,24,4338
1603,82,4410
1604,180,4494
1605,28,4495
1606,35,4523
1607,137,4535
1608,173,4536
1609,158,4537
1610,129,4549
1611,87,4557
1612,141,4607
1613,0,4687
1614,108,4751
1615,64,4773
1616,40,4794
1617,138,4829
1618,19,4852
1619,20,4871
1620,83,4873
1621,87,4897
1622,40,4904
1623,138,4907
1624,80,4926
1625,19,4936
1626,72,4952
1627,19,4967
1628,33,4968
1629,12,5022
1630,125,5033
1631,24,5042
1632,16,21240
1633,61,21254
1634,131,21260
1635,133,21261
1636,217,21274
1637,65,21288
1638,107,21324
1639,61,21340
1640,17,21352
1641,220,21359
1642,71,21368
1643,42,21375
1644,8,21410
1645,41,21417
1646,133,21421
1647,100,21445
1648,131,21448
1649,31,21453
1650,68,21462
1651,193,21465
1652,64,21466
1653,220,21469
1654,83,21475
1655,57,21501
1656,121,21504
1657,55,21506
1658,195,21543
1659,91,21561
1660,53,21566
1661,138,21568
1662,95,21571
1663,90,21586
1664,207,25675
1665,24,25683
1666,117,25696
1667,110,25698
1668,77,25699
1669,111,25705
1670,123,25706
1671,32,25710
1672,31,25713
1673,34,25715
1674,81,25720
1675,73,25721
1676,35,25727
1677,135,25730
1678,94,25735
1679,107,25736
1680,78,25737
1681,116,25740
1682,81,25743
1683,212,25750
1684,73,25753
1685,133,25763
1686,7,25771
1687,4,25774
1688,98,25783
1689,52,25789
1690,76,25792
1691,204,25793
1692,3,25805
1693,96,25810
1694,51,25817
1695,78,25825
1696,77,18963
1697,96,19043
1698,111,19058
1699,137,19068
1700,109,19069
1701,3,19070
1702,180,19127
1703,116,19134
1704,28,19143
1705,61,19151
1706,20,19157
1707,217,19162
1708,131,19168
1709,118,19192
1710,84,19194
1711,97,19203
1712,65,19223
1713,76,19277
1714,125,19370
1715,53,19380
1716,19,19442
1717,76,19451
1718,84,19454
1719,212,19485
1720,131,19488
1721,72,19554
1722,79,19629
1723,137,19647
1724,49,19826
1725,20,19833
1726,64,19836
1727,104,19902
1728,6,42222
1729,90,42226
1730,108,42229
1731,132,42233
1732,158,42252
1733,19,42255
1734,17,42259
1735,67,42264
1736,76,42277
1737,100,42282
1738,52,42284
1739,29,42287
1740,19,42297
1741,132,42299
1742,120,42306
1743,17,42309
1744,139,42310
1745,17,42311
1746,209,42320
1747,33,42326
1748,107,42327
1749,73,42330
1750,131,42342
1751,106,42352
1752,35,42355
1753,61,42361
1754,111,42377
1755,116,42395
1756,92,42397
1757,47,42404
1758,124,42416
1759,16,42422
1760,73,55964
1761,47,55965
